TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, alignment,ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
118,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
119,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
120,2,0,0.0,Total cost:2
[logMove:a, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: aN
Mod: ,2.0,0
121,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
[logMove:B, modelMove:B, cost:0]
[logMove:P, modelMove:P, cost:0]
[logMove:T, modelMove:T, cost:0]
[logMove:V, modelMove:V, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:W, modelMove:W, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: ABPTVQWN
Mod: ABPTVQW,1.0,0
122,3,0,0.0,Total cost:3
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:C, modelMove:C, cost:0]
[logMove:K, modelMove:K, cost:0]
[logMove:E, modelMove:E, cost:0]
[logMove:L, modelMove:L, cost:0]
[logMove:G, modelMove:G, cost:0]
[logMove:D, modelMove:D, cost:0]
[logMove:J, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: BCKELGDJO
Mod: ABCKELGD,3.0,1
123,3,1,0.0,Total cost:3
[logMove:B, modelMove:B, cost:0]
[logMove:>>, modelMove:P, cost:1]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: BQRNO
Mod: BPQR,4.0,0
124,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:a, modelMove:>>, cost:1]
Log: da
Mod: ,2.0,0
125,0,2,0.0,Total cost:0
[logMove:[, modelMove:[, cost:0]
Log: [
Mod: [,2.0,1
126,4,0,0.0,Total cost:4
[logMove:M, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:H, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: MGHO
Mod: ,4.0,0
127,2,1,0.0,Total cost:2
[logMove:B, modelMove:B, cost:0]
[logMove:P, modelMove:P, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:T, modelMove:T, cost:0]
[logMove:W, modelMove:W, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:U, modelMove:U, cost:0]
[logMove:R, modelMove:>>, cost:1]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BPQTWRURSQRO
Mod: BPQTWRUSQR,3.0,1
128,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:[, modelMove:[, cost:0]
[logMove:e, modelMove:e, cost:0]
[logMove:f, modelMove:f, cost:0]
[logMove:a, modelMove:a, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: B[efaO
Mod: AB[efa,2.0,0
129,1,2,0.0,Total cost:1
[logMove:P, modelMove:P, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: PQO
Mod: PQ,3.0,1
130,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: dO
Mod: ,2.0,0
131,1,3,0.0,Total cost:1
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: QRN
Mod: QR,4.0,0
132,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:[, modelMove:[, cost:0]
[logMove:b, modelMove:b, cost:0]
[logMove:g, modelMove:g, cost:0]
[logMove:>>, modelMove:d, cost:1]
[logMove:a, modelMove:a, cost:0]
[logMove:N, modelMove:N, cost:0]
[logMove:O, modelMove:O, cost:0]
Log: B[bgaNO
Mod: AB[bgdaNO,2.0,0
133,2,0,0.0,Total cost:2
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: AOO
Mod: A,2.0,0
134,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BO
Mod: AB,2.0,0
135,2,0,0.0,Total cost:2
[logMove:e, modelMove:>>, cost:1]
[logMove:a, modelMove:>>, cost:1]
Log: ea
Mod: ,2.0,1
136,4,0,0.0,Total cost:4
[logMove:D, modelMove:>>, cost:1]
[logMove:L, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
Log: DLGM
Mod: ,4.0,0
137,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:[, modelMove:[, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: B[O
Mod: AB[,2.0,0
138,2,0,0.0,Total cost:2
[logMove:f, modelMove:>>, cost:1]
[logMove:[, modelMove:>>, cost:1]
Log: f[
Mod: ,2.0,0
139,4,0,0.0,Total cost:4
[logMove:K, modelMove:>>, cost:1]
[logMove:F, modelMove:>>, cost:1]
[logMove:H, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
Log: KFHM
Mod: ,4.0,1
140,4,0,0.0,Total cost:4
[logMove:G, modelMove:>>, cost:1]
[logMove:E, modelMove:>>, cost:1]
[logMove:J, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: GEJN
Mod: ,4.0,0
141,2,0,0.0,Total cost:2
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: NO
Mod: ,2.0,0
142,4,0,0.0,Total cost:4
[logMove:W, modelMove:>>, cost:1]
[logMove:V, modelMove:>>, cost:1]
[logMove:Z, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: WVZO
Mod: ,4.0,1
143,4,0,0.0,Total cost:4
[logMove:O, modelMove:>>, cost:1]
[logMove:S, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
[logMove:U, modelMove:>>, cost:1]
Log: OSNU
Mod: ,4.0,0
144,1,0,0.0,Total cost:1
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:[, modelMove:[, cost:0]
[logMove:e, modelMove:e, cost:0]
[logMove:f, modelMove:f, cost:0]
[logMove:a, modelMove:a, cost:0]
[logMove:N, modelMove:N, cost:0]
Log: B[efaN
Mod: AB[efaN,1.0,0
145,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: BN
Mod: B,2.0,0
146,2,3,0.0,Total cost:2
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:>>, modelMove:Q, cost:1]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:S, modelMove:>>, cost:1]
Log: QRSRSQS
Mod: QRSQRSQ,5.0,1
147,2,0,0.0,Total cost:2
[logMove:B, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: BN
Mod: ,2.0,0
148,3,0,0.0,Total cost:3
[logMove:R, modelMove:>>, cost:1]
[logMove:U, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: RUO
Mod: ,3.0,0
149,4,0,0.0,Total cost:4
[logMove:E, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: EGMO
Mod: ,4.0,0
150,3,0,0.0,Total cost:3
[logMove:A, modelMove:A, cost:0]
[logMove:H, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: AHMN
Mod: A,3.0,1
151,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:[, modelMove:[, cost:0]
[logMove:e, modelMove:e, cost:0]
[logMove:>>, modelMove:f, cost:1]
[logMove:a, modelMove:a, cost:0]
[logMove:N, modelMove:N, cost:0]
[logMove:O, modelMove:O, cost:0]
Log: B[eaNO
Mod: AB[efaNO,2.0,0
152,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:P, modelMove:P, cost:0]
[logMove:T, modelMove:T, cost:0]
[logMove:U, modelMove:U, cost:0]
[logMove:V, modelMove:V, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:>>, modelMove:R, cost:1]
[logMove:W, modelMove:W, cost:0]
[logMove:X, modelMove:X, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
Log: BPTUVQWXSQR
Mod: BPTUVQRWXSQR,2.0,1
153,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: BN
Mod: B,2.0,0
154,2,0,0.0,Total cost:2
[logMove:a, modelMove:>>, cost:1]
[logMove:[, modelMove:>>, cost:1]
Log: a[
Mod: ,2.0,0
155,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
156,3,0,0.0,Total cost:3
[logMove:C, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: CANO
Mod: A,3.0,0
157,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BO
Mod: B,2.0,1
158,3,0,0.0,Total cost:3
[logMove:_, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: _AON
Mod: A,3.0,0
159,2,3,0.0,Total cost:2
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: QRSQRSQNO
Mod: QRSQRSQ,5.0,0
160,2,0,0.0,Total cost:2
[logMove:_, modelMove:>>, cost:1]
[logMove:a, modelMove:>>, cost:1]
Log: _a
Mod: ,2.0,0
161,2,0,0.0,Total cost:2
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: NO
Mod: ,2.0,1
162,1,3,0.0,Total cost:1
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: QRN
Mod: QR,4.0,0
163,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
164,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: dO
Mod: ,2.0,0
165,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: dN
Mod: ,2.0,1
166,1,3,0.0,Total cost:1
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: QRSN
Mod: QRS,4.0,1
167,2,3,0.0,Total cost:2
[logMove:Q, modelMove:Q, cost:0]
[logMove:>>, modelMove:R, cost:1]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: QSQRO
Mod: QRSQR,5.0,0
168,4,0,0.0,Total cost:4
[logMove:F, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:I, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: FGIN
Mod: ,4.0,1
169,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: AO
Mod: A,1.0,0
170,1,4,0.0,Total cost:1
[logMove:W, modelMove:W, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:>>, modelMove:R, cost:1]
[logMove:S, modelMove:S, cost:0]
Log: WQS
Mod: WQRS,5.0,0
171,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: dO
Mod: ,2.0,0
172,2,0,0.0,Total cost:2
[logMove:a, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: aN
Mod: ,2.0,0
173,2,0,0.0,Total cost:2
[logMove:a, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: aN
Mod: ,2.0,0
174,2,0,0.0,Total cost:2
[logMove:a, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: aN
Mod: ,2.0,1
175,3,0,0.0,Total cost:3
[logMove:W, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:Q, modelMove:>>, cost:1]
[logMove:V, modelMove:>>, cost:1]
Log: WAQV
Mod: A,3.0,0
176,1,3,0.0,Total cost:1
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: QRN
Mod: QR,4.0,0
177,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
178,2,0,0.0,Total cost:2
[logMove:R, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: RAO
Mod: A,2.0,0
179,3,0,0.0,Total cost:3
[logMove:R, modelMove:>>, cost:1]
[logMove:X, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: RXO
Mod: ,3.0,1
180,4,0,0.0,Total cost:4
[logMove:M, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:H, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: MGHO
Mod: ,4.0,0
181,1,2,0.0,Total cost:1
[logMove:C, modelMove:C, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: CO
Mod: C,3.0,0
182,3,0,0.0,Total cost:3
[logMove:R, modelMove:>>, cost:1]
[logMove:X, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: RXO
Mod: ,3.0,0
183,4,0,0.0,Total cost:4
[logMove:R, modelMove:>>, cost:1]
[logMove:S, modelMove:>>, cost:1]
[logMove:R, modelMove:>>, cost:1]
[logMove:Z, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
Log: RSRZA
Mod: A,4.0,1
184,2,1,0.0,Total cost:2
[logMove:B, modelMove:B, cost:0]
[logMove:>>, modelMove:P, cost:1]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:>>, modelMove:T, cost:1]
[logMove:U, modelMove:U, cost:0]
Log: BQRU
Mod: BPQRTU,3.0,0
185,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: AO
Mod: A,1.0,0
186,2,0,0.0,Total cost:2
[logMove:_, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: _AO
Mod: A,2.0,0
187,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:X, modelMove:>>, cost:1]
Log: BX
Mod: B,2.0,0
188,4,0,0.0,Total cost:4
[logMove:L, modelMove:>>, cost:1]
[logMove:I, modelMove:>>, cost:1]
[logMove:E, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: LIEO
Mod: ,4.0,1
189,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:[, modelMove:[, cost:0]
[logMove:b, modelMove:b, cost:0]
[logMove:c, modelMove:c, cost:0]
[logMove:>>, modelMove:d, cost:1]
[logMove:a, modelMove:a, cost:0]
[logMove:N, modelMove:N, cost:0]
[logMove:O, modelMove:O, cost:0]
Log: B[bcaNO
Mod: AB[bcdaNO,2.0,0
190,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BO
Mod: B,2.0,0
191,0,1,0.0,Total cost:0
[logMove:B, modelMove:B, cost:0]
Log: B
Mod: B,1.0,0
192,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BO
Mod: B,2.0,0
193,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:P, modelMove:P, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:T, modelMove:T, cost:0]
[logMove:U, modelMove:U, cost:0]
[logMove:W, modelMove:W, cost:0]
[logMove:V, modelMove:V, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BPQTUWVRO
Mod: ABPQTUWVR,2.0,1
194,3,0,0.0,Total cost:3
[logMove:V, modelMove:>>, cost:1]
[logMove:T, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: VTO
Mod: ,3.0,0
195,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
196,4,0,0.0,Total cost:4
[logMove:E, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:H, modelMove:>>, cost:1]
[logMove:J, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: EAHJO
Mod: A,4.0,1
197,4,0,0.0,Total cost:4
[logMove:E, modelMove:>>, cost:1]
[logMove:L, modelMove:>>, cost:1]
[logMove:F, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
Log: ELFN
Mod: ,4.0,0
198,2,0,0.0,Total cost:2
[logMove:b, modelMove:>>, cost:1]
[logMove:g, modelMove:>>, cost:1]
Log: bg
Mod: ,2.0,0
199,4,0,0.0,Total cost:4
[logMove:H, modelMove:>>, cost:1]
[logMove:F, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
[logMove:I, modelMove:>>, cost:1]
Log: HFMI
Mod: ,4.0,0
200,2,0,0.0,Total cost:2
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: NO
Mod: ,2.0,1
201,4,0,0.0,Total cost:4
[logMove:H, modelMove:>>, cost:1]
[logMove:F, modelMove:>>, cost:1]
[logMove:J, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: HFJO
Mod: ,4.0,0
202,3,0,0.0,Total cost:3
[logMove:C, modelMove:>>, cost:1]
[logMove:H, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
Log: CHGA
Mod: A,3.0,0
203,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: AO
Mod: A,1.0,0
204,3,0,0.0,Total cost:3
[logMove:L, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:J, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: LAJO
Mod: A,3.0,1
205,2,0,0.0,Total cost:2
[logMove:A, modelMove:A, cost:0]
[logMove:R, modelMove:>>, cost:1]
[logMove:R, modelMove:>>, cost:1]
Log: ARR
Mod: A,2.0,0
206,2,0,0.0,Total cost:2
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: NO
Mod: ,2.0,0
207,2,0,0.0,Total cost:2
[logMove:e, modelMove:>>, cost:1]
[logMove:a, modelMove:>>, cost:1]
Log: ea
Mod: ,2.0,0
208,3,1,0.0,Total cost:3
[logMove:B, modelMove:B, cost:0]
[logMove:S, modelMove:>>, cost:1]
[logMove:>>, modelMove:P, cost:1]
[logMove:T, modelMove:T, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BSTQRO
Mod: BPTQR,4.0,0
209,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,0
210,3,0,0.0,Total cost:3
[logMove:U, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:Q, modelMove:>>, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: UAQBO
Mod: AB,3.0,2
211,3,0,0.0,Total cost:3
[logMove:W, modelMove:>>, cost:1]
[logMove:R, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: WRO
Mod: ,3.0,0
212,3,0,0.0,Total cost:3
[logMove:Q, modelMove:>>, cost:1]
[logMove:X, modelMove:>>, cost:1]
[logMove:Z, modelMove:>>, cost:1]
Log: QXZ
Mod: ,3.0,0
213,3,0,0.0,Total cost:3
[logMove:A, modelMove:A, cost:0]
[logMove:P, modelMove:>>, cost:1]
[logMove:X, modelMove:>>, cost:1]
[logMove:W, modelMove:>>, cost:1]
Log: APXW
Mod: A,3.0,1
214,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: BN
Mod: B,2.0,0
215,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:a, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
Log: daA
Mod: A,2.0,0
216,4,0,0.0,Total cost:4
[logMove:G, modelMove:>>, cost:1]
[logMove:F, modelMove:>>, cost:1]
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: GFNO
Mod: ,4.0,0
217,2,0,0.0,Total cost:2
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: NO
Mod: ,2.0,0
218,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: dO
Mod: ,2.0,1
219,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BO
Mod: B,2.0,0
220,2,3,0.0,Total cost:2
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:S, modelMove:S, cost:0]
[logMove:Q, modelMove:Q, cost:0]
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: QRSQRSQNO
Mod: QRSQRSQ,5.0,0
221,2,0,0.0,Total cost:2
[logMove:>>, modelMove:A, cost:1]
[logMove:B, modelMove:B, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: BO
Mod: AB,2.0,0
222,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: dO
Mod: ,2.0,0
223,2,0,0.0,Total cost:2
[logMove:d, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: dO
Mod: ,2.0,1
224,1,3,0.0,Total cost:1
[logMove:Q, modelMove:Q, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: QO
Mod: Q,4.0,1
225,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: AO
Mod: A,1.0,0
226,2,0,0.0,Total cost:2
[logMove:N, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: NO
Mod: ,2.0,0
227,4,0,0.0,Total cost:4
[logMove:L, modelMove:>>, cost:1]
[logMove:I, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: LIMO
Mod: ,4.0,0
228,4,0,0.0,Total cost:4
[logMove:K, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:J, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: KGJO
Mod: ,4.0,0
229,2,0,0.0,Total cost:2
[logMove:], modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: ]O
Mod: ,2.0,1
230,1,3,0.0,Total cost:1
[logMove:Q, modelMove:Q, cost:0]
[logMove:R, modelMove:R, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: QRO
Mod: QR,4.0,0
231,1,0,0.0,Total cost:1
[logMove:A, modelMove:A, cost:0]
[logMove:Q, modelMove:>>, cost:1]
Log: AQ
Mod: A,1.0,0
232,1,1,0.0,Total cost:1
[logMove:B, modelMove:B, cost:0]
[logMove:C, modelMove:C, cost:0]
[logMove:E, modelMove:E, cost:0]
[logMove:K, modelMove:K, cost:0]
[logMove:D, modelMove:D, cost:0]
[logMove:I, modelMove:I, cost:0]
[logMove:G, modelMove:G, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: BCEKDIGN
Mod: BCEKDIG,2.0,1
233,3,0,0.0,Total cost:3
[logMove:V, modelMove:>>, cost:1]
[logMove:Z, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: VZO
Mod: ,3.0,0
234,4,0,0.0,Total cost:4
[logMove:C, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:M, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: CGMO
Mod: ,4.0,1
235,4,0,0.0,Total cost:4
[logMove:A, modelMove:A, cost:0]
[logMove:E, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:F, modelMove:>>, cost:1]
[logMove:O, modelMove:>>, cost:1]
Log: AEGFO
Mod: A,4.0,0
236,1,0,0.0,Total cost:1
[logMove:f, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
Log: fA
Mod: A,1.0,0
237,2,1,0.0,Total cost:2
[logMove:B, modelMove:B, cost:0]
[logMove:C, modelMove:C, cost:0]
[logMove:D, modelMove:D, cost:0]
[logMove:>>, modelMove:E, cost:1]
[logMove:F, modelMove:F, cost:0]
[logMove:I, modelMove:I, cost:0]
[logMove:N, modelMove:>>, cost:1]
Log: BCDFIN
Mod: BCDEFI,3.0,0
238,3,0,0.0,Total cost:3
[logMove:F, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:A, modelMove:A, cost:0]
[logMove:O, modelMove:>>, cost:1]
Log: FGAO
Mod: A,3.0,1
239,3,0,0.0,Total cost:3
[logMove:H, modelMove:>>, cost:1]
[logMove:G, modelMove:>>, cost:1]
[logMove:L, modelMove:>>, cost:1]
